id,color,group,shade,r,g,b
C001,#edd1b6,オレンジ,1,237,209,182
C002,#eac8a6,オレンジ,2,234,200,166
C003,#e9bf95,オレンジ,3,233,191,149
C004,#e7b684,オレンジ,4,231,182,132
C005,#e6ad74,オレンジ,5,230,173,116
C006,#e4a463,オレンジ,6,228,164,99
C007,#e39a52,オレンジ,7,227,154,82
C008,#e09142,オレンジ,8,224,145,66
C009,#dd8833,オレンジ,9,221,136,51
C010,#d97f25,オレンジ,10,217,127,37
C011,#c87624,オレンジ,11,200,118,36
C012,#b66d23,オレンジ,12,182,109,35
C013,#a56423,オレンジ,13,165,100,35
C014,#945b22,オレンジ,14,148,91,34
C015,#835221,オレンジ,15,131,82,33
C016,#ede2b6,黄,1,237,226,182
C017,#eadda6,黄,2,234,221,166
C018,#e9d895,黄,3,233,216,149
C019,#e7d484,黄,4,231,212,132
C020,#e6cf74,黄,5,230,207,116
C021,#e4cb63,黄,6,228,203,99
C022,#e3c652,黄,7,227,198,82
C023,#e0c142,黄,8,224,193,66
C024,#ddbc33,黄,9,221,188,51
C025,#d9b625,黄,10,217,182,37
C026,#c8a824,黄,11,200,168,36
C027,#b69923,黄,12,182,153,35
C028,#a58b23,黄,13,165,139,35
C029,#947d22,黄,14,148,125,34
C030,#836f21,黄,15,131,111,33
C031,#e7edb6,黄,1,231,237,182
C032,#e3eaa6,黄,2,227,234,166
C033,#e0e995,黄,3,224,233,149
C034,#dde784,黄,4,221,231,132
C035,#dae674,黄,5,218,230,116
C036,#d7e463,黄,6,215,228,99
C037,#d4e352,黄,7,212,227,82
C038,#d0e042,黄,8,208,224,66
C039,#ccdd33,黄,9,204,221,51
C040,#c6d925,黄,10,198,217,37
C041,#b7c824,黄,11,183,200,36
C042,#a7b623,黄,12,167,182,35
C043,#97a523,黄,13,151,165,35
C044,#889422,黄,14,136,148,34
C045,#788321,黄,15,120,131,33
C046,#d6edb6,黄緑,1,214,237,182
C047,#ceeaa6,黄緑,2,206,234,166
C048,#c7e995,黄緑,3,199,233,149
C049,#bfe784,黄緑,4,191,231,132
C050,#b7e674,黄緑,5,183,230,116
C051,#b0e463,黄緑,6,176,228,99
C052,#a8e352,黄緑,7,168,227,82
C053,#a0e042,黄緑,8,160,224,66
C054,#98dd33,黄緑,9,152,221,51
C055,#90d925,黄緑,10,144,217,37
C056,#85c824,黄緑,11,133,200,36
C057,#7bb623,黄緑,12,123,182,35
C058,#70a523,黄緑,13,112,165,35
C059,#659422,黄緑,14,101,148,34
C060,#5b8321,黄緑,15,91,131,33
C061,#c6edb6,緑,1,198,237,182
C062,#baeaa6,緑,2,186,234,166
C063,#ade995,緑,3,173,233,149
C064,#a1e784,緑,4,161,231,132
C065,#95e674,緑,5,149,230,116
C066,#89e463,緑,6,137,228,99
C067,#7ce352,緑,7,124,227,82
C068,#70e042,緑,8,112,224,66
C069,#65dd33,緑,9,101,221,51
C070,#5ad925,緑,10,90,217,37
C071,#54c824,緑,11,84,200,36
C072,#4eb623,緑,12,78,182,35
C073,#49a523,緑,13,73,165,35
C074,#439422,緑,14,67,148,34
C075,#3d8321,緑,15,61,131,33
C076,#b6edb6,緑,1,182,237,182
C077,#a6eaa6,緑,2,166,234,166
C078,#95e996,緑,3,149,233,150
C079,#84e785,緑,4,132,231,133
C080,#74e675,緑,5,116,230,117
C081,#63e464,緑,6,99,228,100
C082,#52e354,緑,7,82,227,84
C083,#42e044,緑,8,66,224,68
C084,#33dd35,緑,9,51,221,53
C085,#25d927,緑,10,37,217,39
C086,#24c826,緑,11,36,200,38
C087,#23b625,緑,12,35,182,37
C088,#23a524,緑,13,35,165,36
C089,#229423,緑,14,34,148,35
C090,#218322,緑,15,33,131,34
C091,#b6edc7,緑,1,182,237,199
C092,#a6eabb,緑,2,166,234,187
C093,#95e9af,緑,3,149,233,175
C094,#84e7a3,緑,4,132,231,163
C095,#74e697,緑,5,116,230,151
C096,#63e48b,緑,6,99,228,139
C097,#52e37f,緑,7,82,227,127
C098,#42e074,緑,8,66,224,116
C099,#33dd68,緑,9,51,221,104
C100,#25d95d,緑,10,37,217,93
C101,#24c857,緑,11,36,200,87
C102,#23b651,緑,12,35,182,81
C103,#23a54b,緑,13,35,165,75
C104,#229445,緑,14,34,148,69
C105,#21833f,緑,15,33,131,63
C106,#b6edd7,青緑,1,182,237,215
C107,#a6ead0,青緑,2,166,234,208
C108,#95e9c8,青緑,3,149,233,200
C109,#84e7c1,青緑,4,132,231,193
C110,#74e6ba,青緑,5,116,230,186
C111,#63e4b2,青緑,6,99,228,178
C112,#52e3ab,青緑,7,82,227,171
C113,#42e0a3,青緑,8,66,224,163
C114,#33dd9c,青緑,9,51,221,156
C115,#25d994,青緑,10,37,217,148
C116,#24c889,青緑,11,36,200,137
C117,#23b67e,青緑,12,35,182,126
C118,#23a573,青緑,13,35,165,115
C119,#229468,青緑,14,34,148,104
C120,#21835d,青緑,15,33,131,93
C121,#b6ede8,シアン,1,182,237,232
C122,#a6eae5,シアン,2,166,234,229
C123,#95e9e2,シアン,3,149,233,226
C124,#84e7df,シアン,4,132,231,223
C125,#74e6dc,シアン,5,116,230,220
C126,#63e4da,シアン,6,99,228,218
C127,#52e3d7,シアン,7,82,227,215
C128,#42e0d3,シアン,8,66,224,211
C129,#33ddcf,シアン,9,51,221,207
C130,#25d9ca,シアン,10,37,217,202
C131,#24c8ba,シアン,11,36,200,186
C132,#23b6aa,シアン,12,35,182,170
C133,#23a59a,シアン,13,35,165,154
C134,#22948a,シアン,14,34,148,138
C135,#21837a,シアン,15,33,131,122
C136,#b6e1ed,シアン,1,182,225,237
C137,#a6dbea,シアン,2,166,219,234
C138,#95d6e9,シアン,3,149,214,233
C139,#84d2e7,シアン,4,132,210,231
C140,#74cde6,シアン,5,116,205,230
C141,#63c8e4,シアン,6,99,200,228
C142,#52c3e3,シアン,7,82,195,227
C143,#42bee0,シアン,8,66,190,224
C144,#33b8dd,シアン,9,51,184,221
C145,#25b2d9,シアン,10,37,178,217
C146,#24a4c8,シアン,11,36,164,200
C147,#2396b6,シアン,12,35,150,182
C148,#2388a5,シアン,13,35,136,165
C149,#227b94,シアン,14,34,123,148
C150,#216d83,シアン,15,33,109,131
C151,#b6d0ed,青,1,182,208,237
C152,#a6c7ea,青,2,166,199,234
C153,#95bde9,青,3,149,189,233
C154,#84b4e7,青,4,132,180,231
C155,#74aae6,青,5,116,170,230
C156,#63a1e4,青,6,99,161,228
C157,#5297e3,青,7,82,151,227
C158,#428ee0,青,8,66,142,224
C159,#3385dd,青,9,51,133,221
C160,#257bd9,青,10,37,123,217
C161,#2473c8,青,11,36,115,200
C162,#236ab6,青,12,35,106,182
C163,#2361a5,青,13,35,97,165
C164,#225894,青,14,34,88,148
C165,#215083,青,15,33,80,131
C166,#b6bfed,青,1,182,191,237
C167,#a6b2ea,青,2,166,178,234
C168,#95a4e9,青,3,149,164,233
C169,#8496e7,青,4,132,150,231
C170,#7488e6,青,5,116,136,230
C171,#637ae4,青,6,99,122,228
C172,#526ce3,青,7,82,108,227
C173,#425ee0,青,8,66,94,224
C174,#3351dd,青,9,51,81,221
C175,#2545d9,青,10,37,69,217
C176,#2441c8,青,11,36,65,200
C177,#233db6,青,12,35,61,182
C178,#233aa5,青,13,35,58,165
C179,#223694,青,14,34,54,148
C180,#213283,青,15,33,50,131
C181,#bcb6ed,藍,1,188,182,237
C182,#aea6ea,藍,2,174,166,234
C183,#a095e9,藍,3,160,149,233
C184,#9184e7,藍,4,145,132,231
C185,#8274e6,藍,5,130,116,230
C186,#7363e4,藍,6,115,99,228
C187,#6452e3,藍,7,100,82,227
C188,#5642e0,藍,8,86,66,224
C189,#4833dd,藍,9,72,51,221
C190,#3c25d9,藍,10,60,37,217
C191,#3924c8,藍,11,57,36,200
C192,#3623b6,藍,12,54,35,182
C193,#3323a5,藍,13,51,35,165
C194,#302294,藍,14,48,34,148
C195,#2d2183,藍,15,45,33,131
C196,#cdb6ed,紫,1,205,182,237
C197,#c3a6ea,紫,2,195,166,234
C198,#b995e9,紫,3,185,149,233
C199,#af84e7,紫,4,175,132,231
C200,#a474e6,紫,5,164,116,230
C201,#9a63e4,紫,6,154,99,228
C202,#9052e3,紫,7,144,82,227
C203,#8642e0,紫,8,134,66,224
C204,#7c33dd,紫,9,124,51,221
C205,#7225d9,紫,10,114,37,217
C206,#6a24c8,紫,11,106,36,200
C207,#6223b6,紫,12,98,35,182
C208,#5a23a5,紫,13,90,35,165
C209,#522294,紫,14,82,34,148
C210,#4a2183,紫,15,74,33,131
C211,#deb6ed,紫,1,222,182,237
C212,#d8a6ea,紫,2,216,166,234
C213,#d295e9,紫,3,210,149,233
C214,#cc84e7,紫,4,204,132,231
C215,#c774e6,紫,5,199,116,230
C216,#c163e4,紫,6,193,99,228
C217,#bb52e3,紫,7,187,82,227
C218,#b642e0,紫,8,182,66,224
C219,#af33dd,紫,9,175,51,221
C220,#a825d9,紫,10,168,37,217
C221,#9c24c8,紫,11,156,36,200
C222,#8f23b6,紫,12,143,35,182
C223,#8223a5,紫,13,130,35,165
C224,#752294,紫,14,117,34,148
C225,#682183,紫,15,104,33,131
C226,#edb6eb,マゼンタ,1,237,182,235
C227,#eaa6e8,マゼンタ,2,234,166,232
C228,#e995e6,マゼンタ,3,233,149,230
C229,#e784e4,マゼンタ,4,231,132,228
C230,#e674e2,マゼンタ,5,230,116,226
C231,#e463e0,マゼンタ,6,228,99,224
C232,#e352de,マゼンタ,7,227,82,222
C233,#e042db,マゼンタ,8,224,66,219
C234,#dd33d8,マゼンタ,9,221,51,216
C235,#d925d4,マゼンタ,10,217,37,212
C236,#c824c3,マゼンタ,11,200,36,195
C237,#b623b2,マゼンタ,12,182,35,178
C238,#a523a1,マゼンタ,13,165,35,161
C239,#942290,マゼンタ,14,148,34,144
C240,#832180,マゼンタ,15,131,33,128
C241,#edb6da,マゼンタ,1,237,182,218
C242,#eaa6d3,マゼンタ,2,234,166,211
C243,#e995cd,マゼンタ,3,233,149,205
C244,#e784c6,マゼンタ,4,231,132,198
C245,#e674c0,マゼンタ,5,230,116,192
C246,#e463b9,マゼンタ,6,228,99,185
C247,#e352b2,マゼンタ,7,227,82,178
C248,#e042ac,マゼンタ,8,224,66,172
C249,#dd33a5,マゼンタ,9,221,51,165
C250,#d9259d,マゼンタ,10,217,37,157
C251,#c82491,マゼンタ,11,200,36,145
C252,#b62385,マゼンタ,12,182,35,133
C253,#a5237a,マゼンタ,13,165,35,122
C254,#94226e,マゼンタ,14,148,34,110
C255,#832162,マゼンタ,15,131,33,98
